code,obs_name,coordinates
ABG, Alibag, 18.62/72.87
ABK, Abisko, 68.358/18.823
AIA, Argentine Islands (Akademik Vernadsky base), -65.25/295.75
AMS, Martin de Vivies-Amsterdam Island, -37.8/77.57
API, Apia, -13.8/188.22
ARS, Arti, 56.433/58.567
ASC, Ascension Island, -7.95/345.62
ASP, Alice Springs, -23.77/133.88
BDV, Budkov, 49.08/14.02
BEL, Belsk, 51.836/20.789
BFO, Black Forest, 48.331/8.325
BLC, Baker Lake, 64.318/263.988
BMT, Beijing Ming Tombs, 40.3/116.2
BOU, Boulder, 40.14/254.76
BOX, Borok, 58.07/38.23
BRD, Brandon, 49.87/260.0261
BRW, Barrow, 71.32/203.38
BSL, Stennis Space Center, 30.35/270.36
CBB, Cambridge Bay, 69.123/254.969
CKI, Cocos-Keeling Islands, -12.1875/96.8336
CLF, Chambon la Foret, 48.02/2.27
CMO, College, 64.87/212.14
CNB, Canberra, -35.32/149.36
CPL, Choutuppal, 17.2935/78.9192
CSY, Casey Station, -66.283/110.533
CYG, Cheongyang, 36.370/126.854
CZT, Port Alfred, -46.43/51.87
DED, Deadhorse, 70.36/211.21
DLT, Dalat, 11.94/108.48
DMC, Dome C, -75.25/124.167
DOU, Dourbes, 50.1/4.6
DRV, Dumont d'Urville, -66.67/140.01
DUR, Duronia, 41.350/14.466
EBR, Ebro, 40.957/0.333
ESK, Eskdalemuir, 55.32/356.8
EYR, Eyrewell, -43.474/172.393
FCC, Fort Churchill, 58.759/265.912
FRD, Fredericksburg, 38.2/282.63
FRN, Fresno, 37.09/240.28
FUR, Furstenfeldbruck, 48.17/11.28
GAN, Gan, 0.6946/73.1537
GCK, Grocka, 44.6/20.8
GDH, Qeqertarsuaq (Godhavn), 69.252/306.467
GNG, Gingin, -31.356/115.715
GUA, Guam, 13.59/144.87
GUI, Guimar-Tenerife, 28.32/343.57
HAD, Hartland, 51.0/355.52
HBK, Hartebeesthoek, -25.88/27.71
HER, Hermanus, -34.43/19.23
HLP, Hel, 54.603/18.811
HON, Honolulu, 21.32/202.0
HRB, Hurbanovo, 47.86/18.19
HRN, Hornsund, 77.002/15.547
HUA, Huancayo, -12.05/284.67
HYB, Hyderabad, 17.4/78.6
IPM, Isla de Pascua Mataveri (Easter Island), -27.2/250.58
IQA, Iqaluit, 63.753/291.482
IRT, Irkutsk, 52.27/104.45
IZN, Iznik, 40.5/29.72
JAI, Jaipur, 26.92/75.80
JCO, Jim Carrigan Observatory, 70.356/211.201
KAK, Kakioka, 36.23/140.18
KDU, Kakadu, -12.69/132.47
KEP, King Edward Point, -54.2821/323.5071
KHB, Khabarovsk, 47.61/134.69
KMH, Keetmanshoop, -26.54/18.110
KNY, Kanoya, 31.42/130.88
KOU, Kourou, 5.21/307.27
LER, Lerwick, 60.13/358.82
LON, Lonjsko Polje, 45.4081/16.6592
LRM, Learmonth, -22.22/114.1
LVV, Lviv, 49.9/23.75
LYC, Lycksele, 64.6/18.8
MAB, Manhay, 50.298/5.682
MAW, Mawson, -67.6/62.88
MCQ, Macquarie Island, -54.5/158.95
MEA, Meanook, 54.616/246.653
MGD, Magadan, 60.051/150.728
MMB, Memambetsu, 43.91/144.19
NAQ, Narsarsuaq, 61.160/314.558
NEW, Newport, 48.27/242.88
NGK, Niemegk, 52.07/12.68
NUR, Nurmijarvi, 60.51/24.66
NVS, Novosibirsk, 54.85/83.23
ORC, Orcadas, -60.737/315.26
OTT, Ottawa, 45.403/284.448
PAG, Panagjurishte, 42.5/24.2
PEG, Pedeli, 38.1/23.9
PET, Paratunka, 52.971/158.248
PHU, Phuthuy, 21.03/105.95
PIL, Pilar, -31.4/296.12
PPT, Pamatai, -17.57/210.42
PST, Port Stanley, -51.7/302.11
RES, Resolute Bay, 74.690/265.105
SBA, Scott Base, -77.85/166.78
SBL, Sable Island, 43.9321/299.9905
SFS, San Fernando, 36.667/354.055
SHE, Saint Helena, -15.961/354.253
SHU, Shumagin, 55.35/199.54
SIT, Sitka, 57.06/224.67
SJG, San Juan, 18.11/293.85
SOD, Sodankyla, 67.37/26.63
SON, Sonmiani, 25.1168/66.4487
SPG, Saint Petersburg, 60.542/29.716
SPT, San Pablo-Toledo, 39.55/355.65
STJ, St John's, 47.595/307.323
SUA, Surlari, 44.68/26.25
TAM, Tamanrasset, 22.79/5.53
TDC, Tristan da Cunha, -37.067/347.685
THL, Qaanaaq (Thule), 77.47/290.773
THY, Tihany, 46.9/17.89
TSU, Tsumeb, -19.202/17.584
TTB, Tatuoca, -1.205/311.487
TUC, Tucson, 32.18/249.27
UPS, Uppsala, 59.903/17.353
VAL, Valentia, 51.933/349.75
VIC, Victoria, 48.520/236.580
VNA, Neumayer Station â…¢, -70.683/351.718
VOS, Vostok, -78.464/106.835
VSS, Vassouras, -22.4/316.35
WIC, Conrad Observatory, 47.9305/15.8657
WNG, Wingst, 53.74/9.07
YAK, Yakutsk, 61.96/129.66
